1,1000.000,0.000,100.000,1001;CODE 100,L
157,460.000,350.000,100.000,1781;CODE 178,L
158,460.000,500.000,100.000,1781;CODE 178,
159,440.000,350.000,100.000,1791;CODE 179,L
160,440.000,500.000,100.000,1791;CODE 179,
161,420.000,350.000,100.000,1801;CODE 180,L
162,420.000,500.000,100.000,1801;CODE 180,
163,400.000,350.000,100.000,1811;CODE 181,L
164,400.000,500.000,100.000,1811;CODE 181,
165,380.000,350.000,100.000,1821;CODE 182,L
166,380.000,500.000,100.000,1821;CODE 182,
167,360.000,350.000,100.000,1831;CODE 183,L
168,360.000,500.000,100.000,1831;CODE 183,
169,340.000,350.000,100.000,1841;CODE 184,L
170,340.000,500.000,100.000,1841;CODE 184,
171,320.000,350.000,100.000,1851;CODE 185,L
172,320.000,500.000,100.000,1851;CODE 185,
173,300.000,350.000,100.000,1861;CODE 186,L
174,300.000,500.000,100.000,1861;CODE 186,
175,280.000,350.000,100.000,1871;CODE 187,L
176,280.000,500.000,100.000,1871;CODE 187,
177,260.000,350.000,100.000,1881;CODE 188,L
178,260.000,500.000,100.000,1881;CODE 188,
179,240.000,350.000,100.000,1891;CODE 189,L
180,240.000,500.000,100.000,1891;CODE 189,
181,220.000,350.000,100.000,1901;CODE 190,L
182,220.000,500.000,100.000,1901;CODE 190,
183,200.000,350.000,100.000,1911;CODE 191,L
184,200.000,500.000,100.000,1911;CODE 191,
185,180.000,350.000,100.000,1921;CODE 192,L
186,180.000,500.000,100.000,1921;CODE 192,
187,160.000,350.000,100.000,1931;CODE 193,L
188,160.000,500.000,100.000,1931;CODE 193,
189,140.000,350.000,100.000,1941;CODE 194,L
190,140.000,500.000,100.000,1941;CODE 194,
191,120.000,350.000,100.000,1951;CODE 195,L
192,120.000,500.000,100.000,1951;CODE 195,
193,100.000,350.000,100.000,1961;CODE 196,L
194,100.000,500.000,100.000,1961;CODE 196,
195,80.000,350.000,100.000,1971;CODE 197,L
196,80.000,500.000,100.000,1971;CODE 197,
197,60.000,350.000,100.000,1981;CODE 198,L
198,60.000,500.000,100.000,1981;CODE 198,
199,40.000,350.000,100.000,1991;CODE 199,L
200,40.000,500.000,100.000,1991;CODE 199,
201,20.000,350.000,100.000,2001;CODE 200,L
202,20.000,500.000,100.000,2001;CODE 200,
203,0.000,350.000,100.000,2011;CODE 201,L
204,0.000,500.000,100.000,2011;CODE 201,
205,1000.000,700.000,100.000,2021;CODE 202,L
206,1000.000,850.000,100.000,2021;CODE 202,
207,980.000,700.000,100.000,2031;CODE 203,L
208,980.000,850.000,100.000,2031;CODE 203,
209,960.000,700.000,100.000,2041;CODE 204,L
210,960.000,850.000,100.000,2041;CODE 204,
211,940.000,700.000,100.000,2051;CODE 205,L
212,940.000,850.000,100.000,2051;CODE 205,
213,920.000,700.000,100.000,2061;CODE 206,L
214,920.000,850.000,100.000,2061;CODE 206,
215,900.000,700.000,100.000,2071;CODE 207,L
216,900.000,850.000,100.000,2071;CODE 207,
217,880.000,700.000,100.000,2081;CODE 208,L
218,880.000,850.000,100.000,2081;CODE 208,
219,860.000,700.000,100.000,2091;CODE 209,L
220,860.000,850.000,100.000,2091;CODE 209,
221,840.000,700.000,100.000,2101;CODE 210,L
222,840.000,850.000,100.000,2101;CODE 210,
223,820.000,700.000,100.000,2111;CODE 211,L
224,820.000,850.000,100.000,2111;CODE 211,
225,800.000,700.000,100.000,2121;CODE 212,L
226,800.000,850.000,100.000,2121;CODE 212,
227,780.000,700.000,100.000,2131;CODE 213,L
228,780.000,850.000,100.000,2131;CODE 213,
229,760.000,700.000,100.000,2141;CODE 214,L
230,760.000,850.000,100.000,2141;CODE 214,
231,740.000,700.000,100.000,2151;CODE 215,L
232,740.000,850.000,100.000,2151;CODE 215,
233,720.000,700.000,100.000,2161;CODE 216,L
234,720.000,850.000,100.000,2161;CODE 216,
235,700.000,700.000,100.000,2171;CODE 217,L
236,700.000,850.000,100.000,2171;CODE 217,
237,680.000,700.000,100.000,2181;CODE 218,L
238,680.000,850.000,100.000,2181;CODE 218,
239,660.000,700.000,100.000,2191;CODE 219,L
240,660.000,850.000,100.000,2191;CODE 219,
241,640.000,700.000,100.000,2201;CODE 220,L
242,640.000,850.000,100.000,2201;CODE 220,
243,620.000,700.000,100.000,2211;CODE 221,L
244,620.000,850.000,100.000,2211;CODE 221,
245,600.000,700.000,100.000,2221;CODE 222,L
246,600.000,850.000,100.000,2221;CODE 222,
247,580.000,700.000,100.000,2231;CODE 223,L
248,580.000,850.000,100.000,2231;CODE 223,
249,560.000,700.000,100.000,2241;CODE 224,L
250,560.000,850.000,100.000,2241;CODE 224,
251,540.000,700.000,100.000,2251;CODE 225,L
252,540.000,850.000,100.000,2251;CODE 225,
253,520.000,700.000,100.000,2261;CODE 226,L
254,520.000,850.000,100.000,2261;CODE 226,
255,500.000,700.000,100.000,2271;CODE 227,L
256,500.000,850.000,100.000,2271;CODE 227,
257,480.000,700.000,100.000,2281;CODE 228,L
258,480.000,850.000,100.000,2281;CODE 228,
259,460.000,700.000,100.000,2291;CODE 229,L
260,460.000,850.000,100.000,2291;CODE 229,
261,440.000,700.000,100.000,2301;CODE 230,L
262,440.000,850.000,100.000,2301;CODE 230,
263,420.000,700.000,100.000,2311;CODE 231,L
264,420.000,850.000,100.000,2311;CODE 231,
265,400.000,700.000,100.000,2321;CODE 232,L
266,400.000,850.000,100.000,2321;CODE 232,
267,380.000,700.000,100.000,2331;CODE 233,L
268,380.000,850.000,100.000,2331;CODE 233,
269,360.000,700.000,100.000,2341;CODE 234,L
270,360.000,850.000,100.000,2341;CODE 234,
271,340.000,700.000,100.000,2351;CODE 235,L
272,340.000,850.000,100.000,2351;CODE 235,
273,320.000,700.000,100.000,2361;CODE 236,L
274,320.000,850.000,100.000,2361;CODE 236,
275,300.000,700.000,100.000,2371;CODE 237,L
276,300.000,850.000,100.000,2371;CODE 237,
277,280.000,700.000,100.000,2381;CODE 238,L
278,280.000,850.000,100.000,2381;CODE 238,
279,260.000,700.000,100.000,2391;CODE 239,L
280,260.000,850.000,100.000,2391;CODE 239,
281,240.000,700.000,100.000,2401;CODE 240,L
282,240.000,850.000,100.000,2401;CODE 240,
283,220.000,700.000,100.000,2411;CODE 241,L
284,220.000,850.000,100.000,2411;CODE 241,
285,200.000,700.000,100.000,2421;CODE 242,L
286,200.000,850.000,100.000,2421;CODE 242,
287,180.000,700.000,100.000,2431;CODE 243,L
288,180.000,850.000,100.000,2431;CODE 243,
289,160.000,700.000,100.000,2441;CODE 244,L
290,160.000,850.000,100.000,2441;CODE 244,
291,140.000,700.000,100.000,2451;CODE 245,L
292,140.000,850.000,100.000,2451;CODE 245,
293,120.000,700.000,100.000,2461;CODE 246,L
294,120.000,850.000,100.000,2461;CODE 246,
295,100.000,700.000,100.000,2471;CODE 247,L
296,100.000,850.000,100.000,2471;CODE 247,
297,80.000,700.000,100.000,2481;CODE 248,L
298,80.000,850.000,100.000,2481;CODE 248,
299,60.000,700.000,100.000,2491;CODE 249,L
300,60.000,850.000,100.000,2491;CODE 249,
301,40.000,700.000,100.000,2501;CODE 250,L
302,40.000,850.000,100.000,2501;CODE 250,
303,20.000,700.000,100.000,2511;CODE 251,L
304,20.000,850.000,100.000,2511;CODE 251,
305,0.000,700.000,100.000,2521;CODE 252,L
306,0.000,850.000,100.000,2521;CODE 252,
307,1000.000,1050.000,100.000,2531;CODE 253,L
308,1000.000,1200.000,100.000,2531;CODE 253,
309,980.000,1050.000,100.000,2541;CODE 254,L
310,980.000,1200.000,100.000,2541;CODE 254,
311,960.000,1050.000,100.000,2551;CODE 255,L
312,960.000,1200.000,100.000,2551;CODE 255,
313,940.000,1050.000,100.000,2561;CODE 256,L
314,940.000,1200.000,100.000,2561;CODE 256,
315,920.000,1050.000,100.000,2571;CODE 257,L
316,920.000,1200.000,100.000,2571;CODE 257,
317,900.000,1050.000,100.000,2581;CODE 258,L
318,900.000,1200.000,100.000,2581;CODE 258,
319,880.000,1050.000,100.000,2591;CODE 259,L
320,880.000,1200.000,100.000,2591;CODE 259,
321,860.000,1050.000,100.000,2601;CODE 260,L
322,860.000,1200.000,100.000,2601;CODE 260,
323,840.000,1050.000,100.000,2611;CODE 261,L
324,840.000,1200.000,100.000,2611;CODE 261,
325,820.000,1050.000,100.000,2621;CODE 262,L
326,820.000,1200.000,100.000,2621;CODE 262,
327,800.000,1050.000,100.000,2631;CODE 263,L
328,800.000,1200.000,100.000,2631;CODE 263,
329,780.000,1050.000,100.000,2641;CODE 264,L
330,780.000,1200.000,100.000,2641;CODE 264,
331,760.000,1050.000,100.000,2651;CODE 265,L
332,760.000,1200.000,100.000,2651;CODE 265,
333,740.000,1050.000,100.000,2661;CODE 266,L
334,740.000,1200.000,100.000,2661;CODE 266,
335,720.000,1050.000,100.000,2671;CODE 267,L
336,720.000,1200.000,100.000,2671;CODE 267,
337,700.000,1050.000,100.000,2681;CODE 268,L
338,700.000,1200.000,100.000,2681;CODE 268,
339,680.000,1050.000,100.000,2691;CODE 269,L
340,680.000,1200.000,100.000,2691;CODE 269,
341,660.000,1050.000,100.000,2701;CODE 270,L
342,660.000,1200.000,100.000,2701;CODE 270,
343,640.000,1050.000,100.000,2711;CODE 271,L
344,640.000,1200.000,100.000,2711;CODE 271,
345,620.000,1050.000,100.000,2721;CODE 272,L
346,620.000,1200.000,100.000,2721;CODE 272,
347,600.000,1050.000,100.000,2731;CODE 273,L
348,600.000,1200.000,100.000,2731;CODE 273,
349,580.000,1050.000,100.000,2741;CODE 274,L
350,580.000,1200.000,100.000,2741;CODE 274,
351,560.000,1050.000,100.000,2751;CODE 275,L
352,560.000,1200.000,100.000,2751;CODE 275,
353,540.000,1050.000,100.000,2761;CODE 276,L
354,540.000,1200.000,100.000,2761;CODE 276,
355,520.000,1050.000,100.000,2771;CODE 277,L
356,520.000,1200.000,100.000,2771;CODE 277,
357,500.000,1050.000,100.000,2781;CODE 278,L
358,500.000,1200.000,100.000,2781;CODE 278,
359,480.000,1050.000,100.000,2791;CODE 279,L
360,480.000,1200.000,100.000,2791;CODE 279,
361,460.000,1050.000,100.000,2801;CODE 280,L
362,460.000,1200.000,100.000,2801;CODE 280,
363,440.000,1050.000,100.000,2811;CODE 281,L
364,440.000,1200.000,100.000,2811;CODE 281,
365,420.000,1050.000,100.000,2821;CODE 282,L
366,420.000,1200.000,100.000,2821;CODE 282,
367,400.000,1050.000,100.000,2831;CODE 283,L
368,400.000,1200.000,100.000,2831;CODE 283,
369,380.000,1050.000,100.000,2841;CODE 284,L
370,380.000,1200.000,100.000,2841;CODE 284,
371,360.000,1050.000,100.000,2851;CODE 285,L
372,360.000,1200.000,100.000,2851;CODE 285,
373,340.000,1050.000,100.000,2861;CODE 286,L
374,340.000,1200.000,100.000,2861;CODE 286,
375,320.000,1050.000,100.000,2871;CODE 287,L
376,320.000,1200.000,100.000,2871;CODE 287,
377,300.000,1050.000,100.000,2881;CODE 288,L
378,300.000,1200.000,100.000,2881;CODE 288,
379,280.000,1050.000,100.000,2891;CODE 289,L
380,280.000,1200.000,100.000,2891;CODE 289,
381,260.000,1050.000,100.000,2901;CODE 290,L
382,260.000,1200.000,100.000,2901;CODE 290,
383,240.000,1050.000,100.000,2911;CODE 291,L
384,240.000,1200.000,100.000,2911;CODE 291,
385,220.000,1050.000,100.000,2921;CODE 292,L
386,220.000,1200.000,100.000,2921;CODE 292,
387,200.000,1050.000,100.000,2931;CODE 293,L
388,200.000,1200.000,100.000,2931;CODE 293,
389,180.000,1050.000,100.000,2941;CODE 294,L
390,180.000,1200.000,100.000,2941;CODE 294,
391,160.000,1050.000,100.000,2951;CODE 295,L
392,160.000,1200.000,100.000,2951;CODE 295,
393,140.000,1050.000,100.000,2961;CODE 296,L
394,140.000,1200.000,100.000,2961;CODE 296,
395,120.000,1050.000,100.000,2971;CODE 297,L
396,120.000,1200.000,100.000,2971;CODE 297,
397,100.000,1050.000,100.000,2981;CODE 298,L
398,100.000,1200.000,100.000,2981;CODE 298,
399,80.000,1050.000,100.000,2991;CODE 299,L
400,80.000,1200.000,100.000,2991;CODE 299,
401,60.000,1050.000,100.000,3001;CODE 300,L
402,60.000,1200.000,100.000,3001;CODE 300,
403,40.000,1050.000,100.000,3011;CODE 301,L
404,40.000,1200.000,100.000,3011;CODE 301,
405,20.000,1050.000,100.000,3021;CODE 302,L
406,20.000,1200.000,100.000,3021;CODE 302,
407,0.000,1050.000,100.000,3031;CODE 303,L
408,0.000,1200.000,100.000,3031;CODE 303,
409,1000.000,1400.000,100.000,3041;CODE 304,L
410,1000.000,1550.000,100.000,3041;CODE 304,
411,980.000,1400.000,100.000,3051;CODE 305,L
412,980.000,1550.000,100.000,3051;CODE 305,
413,960.000,1400.000,100.000,3061;CODE 306,L
414,960.000,1550.000,100.000,3061;CODE 306,
415,940.000,1400.000,100.000,3071;CODE 307,L
416,940.000,1550.000,100.000,3071;CODE 307,
417,920.000,1400.000,100.000,3081;CODE 308,L
418,920.000,1550.000,100.000,3081;CODE 308,
419,900.000,1400.000,100.000,3091;CODE 309,L
420,900.000,1550.000,100.000,3091;CODE 309,
421,880.000,1400.000,100.000,3101;CODE 310,L
422,880.000,1550.000,100.000,3101;CODE 310,
423,860.000,1400.000,100.000,3111;CODE 311,L
424,860.000,1550.000,100.000,3111;CODE 311,
425,840.000,1400.000,100.000,3121;CODE 312,L
426,840.000,1550.000,100.000,3121;CODE 312,
427,820.000,1400.000,100.000,3131;CODE 313,L
428,820.000,1550.000,100.000,3131;CODE 313,
429,800.000,1400.000,100.000,3141;CODE 314,L
430,800.000,1550.000,100.000,3141;CODE 314,
431,780.000,1400.000,100.000,3151;CODE 315,L
432,780.000,1550.000,100.000,3151;CODE 315,
433,760.000,1400.000,100.000,3161;CODE 316,L
434,760.000,1550.000,100.000,3161;CODE 316,
435,740.000,1400.000,100.000,3171;CODE 317,L
436,740.000,1550.000,100.000,3171;CODE 317,
437,720.000,1400.000,100.000,3181;CODE 318,L
438,720.000,1550.000,100.000,3181;CODE 318,
439,700.000,1400.000,100.000,3191;CODE 319,L
440,700.000,1550.000,100.000,3191;CODE 319,
441,680.000,1400.000,100.000,3201;CODE 320,L
442,680.000,1550.000,100.000,3201;CODE 320,
443,660.000,1400.000,100.000,3211;CODE 321,L
444,660.000,1550.000,100.000,3211;CODE 321,
445,640.000,1400.000,100.000,3221;CODE 322,L
446,640.000,1550.000,100.000,3221;CODE 322,
447,620.000,1400.000,100.000,3231;CODE 323,L
448,620.000,1550.000,100.000,3231;CODE 323,
449,600.000,1400.000,100.000,3241;CODE 324,L
450,600.000,1550.000,100.000,3241;CODE 324,
451,580.000,1400.000,100.000,3251;CODE 325,L
452,580.000,1550.000,100.000,3251;CODE 325,
453,560.000,1400.000,100.000,3261;CODE 326,L
454,560.000,1550.000,100.000,3261;CODE 326,
455,540.000,1400.000,100.000,3271;CODE 327,L
456,540.000,1550.000,100.000,3271;CODE 327,
457,520.000,1400.000,100.000,3281;CODE 328,L
458,520.000,1550.000,100.000,3281;CODE 328,
459,500.000,1400.000,100.000,3291;CODE 329,L
460,500.000,1550.000,100.000,3291;CODE 329,
461,480.000,1400.000,100.000,3301;CODE 330,L
462,480.000,1550.000,100.000,3301;CODE 330,
463,460.000,1400.000,100.000,3311;CODE 331,L
464,460.000,1550.000,100.000,3311;CODE 331,
465,440.000,1400.000,100.000,3321;CODE 332,L
466,440.000,1550.000,100.000,3321;CODE 332,
467,420.000,1400.000,100.000,3331;CODE 333,L
468,420.000,1550.000,100.000,3331;CODE 333,
469,400.000,1400.000,100.000,3341;CODE 334,L
470,400.000,1550.000,100.000,3341;CODE 334,
471,380.000,1400.000,100.000,3351;CODE 335,L
472,380.000,1550.000,100.000,3351;CODE 335,
473,360.000,1400.000,100.000,3361;CODE 336,L
474,360.000,1550.000,100.000,3361;CODE 336,
475,340.000,1400.000,100.000,3371;CODE 337,L
476,340.000,1550.000,100.000,3371;CODE 337,
477,320.000,1400.000,100.000,3381;CODE 338,L
478,320.000,1550.000,100.000,3381;CODE 338,
479,300.000,1400.000,100.000,3391;CODE 339,L
480,300.000,1550.000,100.000,3391;CODE 339,
481,280.000,1400.000,100.000,3401;CODE 340,L
482,280.000,1550.000,100.000,3401;CODE 340,
483,260.000,1400.000,100.000,3411;CODE 341,L
484,260.000,1550.000,100.000,3411;CODE 341,
485,240.000,1400.000,100.000,3421;CODE 342,L
486,240.000,1550.000,100.000,3421;CODE 342,
487,220.000,1400.000,100.000,3431;CODE 343,L
488,220.000,1550.000,100.000,3431;CODE 343,
489,200.000,1400.000,100.000,3441;CODE 344,L
490,200.000,1550.000,100.000,3441;CODE 344,
491,180.000,1400.000,100.000,3451;CODE 345,L
492,180.000,1550.000,100.000,3451;CODE 345,
493,160.000,1400.000,100.000,3461;CODE 346,L
494,160.000,1550.000,100.000,3461;CODE 346,
495,140.000,1400.000,100.000,3471;CODE 347,L
496,140.000,1550.000,100.000,3471;CODE 347,
497,120.000,1400.000,100.000,3481;CODE 348,L
498,120.000,1550.000,100.000,3481;CODE 348,
499,100.000,1400.000,100.000,3491;CODE 349,L
500,100.000,1550.000,100.000,3491;CODE 349,
501,80.000,1400.000,100.000,3501;CODE 350,L
502,80.000,1550.000,100.000,3501;CODE 350,
503,60.000,1400.000,100.000,3511;CODE 351,L
504,60.000,1550.000,100.000,3511;CODE 351,
505,40.000,1400.000,100.000,3521;CODE 352,L
506,40.000,1550.000,100.000,3521;CODE 352,
507,20.000,1400.000,100.000,3531;CODE 353,L
508,20.000,1550.000,100.000,3531;CODE 353,
509,0.000,1400.000,100.000,3541;CODE 354,L
510,0.000,1550.000,100.000,3541;CODE 354,
511,1000.000,1750.000,100.000,3551;CODE 355,L
512,1000.000,1900.000,100.000,3551;CODE 355,
513,980.000,1750.000,100.000,3561;CODE 356,L
514,980.000,1900.000,100.000,3561;CODE 356,
515,960.000,1750.000,100.000,3571;CODE 357,L
516,960.000,1900.000,100.000,3571;CODE 357,
517,940.000,1750.000,100.000,3581;CODE 358,L
518,940.000,1900.000,100.000,3581;CODE 358,
519,920.000,1750.000,100.000,3591;CODE 359,L
520,920.000,1900.000,100.000,3591;CODE 359,
521,900.000,1750.000,100.000,3601;CODE 360,L
522,900.000,1900.000,100.000,3601;CODE 360,
523,880.000,1750.000,100.000,3611;CODE 361,L
524,880.000,1900.000,100.000,3611;CODE 361,
525,860.000,1750.000,100.000,3621;CODE 362,L
526,860.000,1900.000,100.000,3621;CODE 362,
527,840.000,1750.000,100.000,3631;CODE 363,L
528,840.000,1900.000,100.000,3631;CODE 363,
529,820.000,1750.000,100.000,3641;CODE 364,L
530,820.000,1900.000,100.000,3641;CODE 364,
531,800.000,1750.000,100.000,3651;CODE 365,L
532,800.000,1900.000,100.000,3651;CODE 365,
533,780.000,1750.000,100.000,3661;CODE 366,L
534,780.000,1900.000,100.000,3661;CODE 366,
535,760.000,1750.000,100.000,3671;CODE 367,L
536,760.000,1900.000,100.000,3671;CODE 367,
537,740.000,1750.000,100.000,3681;CODE 368,L
538,740.000,1900.000,100.000,3681;CODE 368,
539,720.000,1750.000,100.000,3691;CODE 369,L
540,720.000,1900.000,100.000,3691;CODE 369,
541,700.000,1750.000,100.000,3701;CODE 370,L
542,700.000,1900.000,100.000,3701;CODE 370,
543,680.000,1750.000,100.000,3711;CODE 371,L
544,680.000,1900.000,100.000,3711;CODE 371,
545,660.000,1750.000,100.000,3721;CODE 372,L
546,660.000,1900.000,100.000,3721;CODE 372,
547,640.000,1750.000,100.000,3731;CODE 373,L
548,640.000,1900.000,100.000,3731;CODE 373,
549,620.000,1750.000,100.000,3741;CODE 374,L
550,620.000,1900.000,100.000,3741;CODE 374,
551,600.000,1750.000,100.000,3751;CODE 375,L
552,600.000,1900.000,100.000,3751;CODE 375,
553,580.000,1750.000,100.000,3761;CODE 376,L
554,580.000,1900.000,100.000,3761;CODE 376,
555,560.000,1750.000,100.000,3771;CODE 377,L
556,560.000,1900.000,100.000,3771;CODE 377,
557,540.000,1750.000,100.000,3781;CODE 378,L
558,540.000,1900.000,100.000,3781;CODE 378,
559,520.000,1750.000,100.000,3791;CODE 379,L
